date,text,sentiment_label,sentiment_score
2024-11-04 17:37,know musk choose random numbers quarterly financial statements lol,Neutral,0.9998382329940796
2024-11-04 16:47,think stock drop harris wins election elections,Neutral,0.6057603359222412
2024-11-04 16:35,update drops wednesday,Neutral,0.9996249675750732
2024-11-04 16:33,hits next week everyone gets blueberry muffin,Neutral,0.9999191761016846
2024-11-04 16:17,area right good one sell puts buy calls sell puts go heavy want may drop hard recover hard drops 248,Neutral,0.5278611183166504
2024-11-04 16:09,close right opened indecision candle day going tomorrow opened 244 54 almost amount normal considering max uncertainty bears,Neutral,0.9997665286064148
2024-11-04 15:52,rather powerful 10 point reversal lows,Neutral,0.49628064036369324
2024-11-04 15:51,fsd generalised autonomous driving solution situation road using neural networks waymo driver autonomous driving service operate pre mapped roads using lidar apparently ev experts still understand,Neutral,0.9999580383300781
2024-11-04 15:48,assuming average commute 30 minutes way 2 billion people commuting globally humanity loses roughly 2 billion hours productivity every single day makes full self driving fsd technology incredibly important,Positive,0.9253826141357422
2024-11-04 15:46,vix quite bit lower higher higher hell like market decided harris election,Neutral,0.9856797456741333
2024-11-04 15:41,3 244 support level tsla see 258 week theres positive reaction election fomc,Positive,0.9999699592590332
2024-11-04 15:36,back miss 4 successful plays calls bottom good back,Positive,0.9999899864196777
2024-11-04 15:35,regulatory issue nuclear facility amazon putting pressure nuclear stocks something forecasted brief discussion friend used portfolio manager thinks regulatory hurdles harder,Negative,0.9962958693504333
2024-11-04 15:29,tomorrow night like earnings report others trading names gambling ok fun heavy size binary events noobs win one feel like genius blow next time risk management,Neutral,0.8467345237731934
2024-11-04 15:20,fake breakdown tease bears gap fill,Neutral,0.9999916553497314
2024-11-04 15:09,dip bought today 238 hold 244 see 250 252 leading fomc wednesday calls work 244 dip bought 5700 5767 important level reclaim set another 60 80 pt pop higher fomc held 563 far,Neutral,0.996322512626648
2024-11-04 15:09,think least 1 low lt 239 morning made possibly 2 lows 2nd one guaranteed invalidation 250 trades first,Neutral,0.9906230568885803
2024-11-04 15:03,5 point bounce lows 13k nov 267 5 calls bought,Neutral,0.9984293580055237
2024-11-04 14:58,making list harris stocks trump stocks trump harris give picks,Neutral,0.9999850988388062
2024-11-04 14:55,feels like selling exhaustion low 25 minutes,Neutral,0.9915956854820251
2024-11-04 14:40,afraid short 270 afraid buy 240 way,Neutral,0.9992685914039612
2024-11-04 14:10,would react donald trump wins would react kamala harris wins,Neutral,0.9965020418167114
2024-11-04 13:26,market pricing kamala win solar stocks oil pumping red red,Neutral,0.9739043116569519
2024-11-04 13:18,tesla sold 68 280 china made evs october 5 3 yoy according data china passenger car association cpca reuters,Neutral,0.9999974966049194
2024-11-04 13:11,economic events amp premarket buzz 10 00 factory orders sep expected 0 5 prior 0 2 premarket movers higher lower earnings today premarket post market,Negative,0.8848220109939575
2024-11-04 12:40,auto cost per vehicle perspective q3 benefited high china sales total sales ratio knew also 10 catl cost cut know first one revert q4 second one carry forward,Positive,0.9994891881942749
